actual,predicted,token,count
offensive_language,hate_speech,nigga,190
offensive_language,hate_speech,bitch,117
offensive_language,hate_speech,fuck,75
offensive_language,hate_speech,faggot,51
offensive_language,hate_speech,hoe,51
offensive_language,hate_speech,fucking,46
offensive_language,hate_speech,pussy,36
offensive_language,hate_speech,retarded,35
offensive_language,hate_speech,white,34
offensive_language,hate_speech,nigger,31
offensive_language,hate_speech,cunt,30
offensive_language,hate_speech,shit,30
offensive_language,hate_speech,fag,29
offensive_language,hate_speech,lol,28
offensive_language,hate_speech,trash,27
offensive_language,hate_speech,retard,21
offensive_language,hate_speech,ugly,20
offensive_language,hate_speech,real,18
offensive_language,hate_speech,say,17
offensive_language,hate_speech,know,17
offensive_language,hate_speech,make,16
offensive_language,hate_speech,talking,14
offensive_language,hate_speech,love,14
offensive_language,hate_speech,dyke,14
offensive_language,hate_speech,girl,14
offensive_language,hate_speech,gay,13
offensive_language,hate_speech,man,13
offensive_language,hate_speech,niggah,13
offensive_language,hate_speech,said,13
offensive_language,hate_speech,nig,13
hate_speech,offensive_language,bitch,40
hate_speech,offensive_language,hoe,16
hate_speech,offensive_language,nigga,14
hate_speech,offensive_language,shit,8
hate_speech,offensive_language,hate,5
hate_speech,offensive_language,fat,5
hate_speech,offensive_language,fucking,5
hate_speech,offensive_language,need,4
hate_speech,offensive_language,cunt,4
hate_speech,offensive_language,pussy,3
hate_speech,offensive_language,really,3
hate_speech,offensive_language,niggah,3
hate_speech,offensive_language,lil,3
hate_speech,offensive_language,say,3
hate_speech,offensive_language,cause,3
hate_speech,offensive_language,know,3
hate_speech,offensive_language,lmao,2
hate_speech,offensive_language,harm,2
hate_speech,offensive_language,boy,2
hate_speech,offensive_language,fight,2
hate_speech,offensive_language,coming,2
hate_speech,offensive_language,attention,2
hate_speech,offensive_language,die,2
hate_speech,offensive_language,tryna,2
hate_speech,offensive_language,fuck,2
hate_speech,offensive_language,dumb,2
hate_speech,offensive_language,game,2
hate_speech,offensive_language,black,2
hate_speech,offensive_language,head,2
hate_speech,offensive_language,mad,2
