rank,label,accuracy,macro_f1,training_time_seconds,disk_size_mb,trainable_parameters
1,GloVe Twitter LSTM,0.8400242081904378,0.7218029482758466,130.25829236700156,11.607635498046875,1011203
2,GloVe Wiki LSTM,0.8339721605809965,0.7154633385239166,104.72055241999988,11.607635498046875,1011203
3,Small Reg. LSTM,0.8180351018761347,0.686156074681285,86.142426522998,14.832484245300293,1292995
4,BiLSTM,0.8093605003026024,0.6837353464970072,20.2118814150017,30.51781463623047,2663043
5,LSTM,0.7996772241274964,0.6815397092871455,16.220681562997925,29.918484687805176,2611587
6,LSTM + Dropout,0.8113778495057494,0.6792343266948037,20.041327982999064,29.922612190246582,2611587
7,Weighted RNN Lemma,0.8103691749041759,0.6701768272910881,25.193455307002296,29.498574256896973,2574531
8,Weighted RNN Stem,0.8065362114181965,0.667713726156364,25.67231409300075,29.498574256896973,2574531
9,RNN Lemma,0.886624974783135,0.5829067583123478,24.060275044001173,29.498574256896973,2574531
10,RNN Stem,0.8872301795440791,0.5824656203878456,27.61794750199988,29.49856472015381,2574531
