raw_class,display_class,path,error
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00004_00014.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Cautions/00021_00004_00014.png'
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00021_00010_00015.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Cautions/00021_00010_00015.png'
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00022_00003_00015.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Cautions/00022_00003_00015.png'
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00022_00006_00005.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Cautions/00022_00006_00005.png'
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00023_00007_00006.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Cautions/00023_00007_00006.png'
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00030_00002_00004.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Cautions/00030_00002_00004.png'
Cautions,Cautions,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Cautions/00030_00004_00000.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Cautions/00030_00004_00000.png'
Crossings,Crossings,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Crossings/00027_00003_00009.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Crossings/00027_00003_00009.png'
Crossings,Crossings,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Crossings/00027_00003_00018.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Crossings/00027_00003_00018.png'
Crossings,Crossings,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Crossings/00028_00000_00010.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Crossings/00028_00000_00010.png'
Crossings,Crossings,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Crossings/00031_00012_00018.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Crossings/00031_00012_00018.png'
Crossings,Crossings,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Crossings/00031_00013_00011.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Crossings/00031_00013_00011.png'
Crossings,Crossings,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Crossings/00031_00021_00000.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Crossings/00031_00021_00000.png'
Crossings,Crossings,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/Crossings/00031_00024_00010.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/Crossings/00031_00024_00010.png'
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00037_00006_00028.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/DIrection/00037_00006_00028.png'
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00038_00000_00016.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/DIrection/00038_00000_00016.png'
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00038_00013_00012.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/DIrection/00038_00013_00012.png'
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00038_00036_00017.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/DIrection/00038_00036_00017.png'
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00038_00049_00008.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/DIrection/00038_00049_00008.png'
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00038_00065_00011.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/DIrection/00038_00065_00011.png'
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00039_00004_00016.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/DIrection/00039_00004_00016.png'
No Entry,No Entry,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/No Entry/00014_00010_00029.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/No Entry/00014_00010_00029.png'
No Entry,No Entry,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/No Entry/00014_00021_00016.png,cannot identify image file '/home/wizard/Projects/school/AI/submissions/submission_v2/datasets/vision/Train/No Entry/00014_00021_00016.png'
