raw_class,display_class,path,filename,width,height,aspect_ratio,size_pixels,mode,split,label
DIrection,Direction,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/DIrection/00038_00055_00025.png,00038_00055_00025.png,87,88,0.9886363636363636,7656,RGB,train,2
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00004_00052_00029.png,00004_00052_00029.png,74,71,1.0422535211267605,5254,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00005_00015_00028.png,00005_00015_00028.png,130,136,0.9558823529411765,17680,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00007_00016_00020.png,00007_00016_00020.png,61,62,0.9838709677419355,3782,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00004_00022_00029.png,00004_00022_00029.png,50,49,1.0204081632653061,2450,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00004_00053_00004.png,00004_00053_00004.png,38,38,1.0,1444,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00005_00033_00003.png,00005_00033_00003.png,26,28,0.9285714285714286,728,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00005_00005_00006.png,00005_00005_00006.png,31,30,1.0333333333333334,930,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00004_00005_00001.png,00004_00005_00001.png,44,42,1.0476190476190477,1848,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00007_00007_00027.png,00007_00007_00027.png,103,103,1.0,10609,RGB,train,4
SpeedLimit,SpeedLimit,/home/wizard/Projects/school/AI/submissions/assets/Traffic_Sign_2/Train/SpeedLimit/00005_00015_00019.png,00005_00015_00019.png,56,56,1.0,3136,RGB,train,4
